archetype,deck,list_id,source,date,event,pilot,camp,category,confidence,regime,origin,verifier,verdict,reason,verifier_reason
blink,Esper Blink,melee:b80cb093-e238-4fd9-a2af-b4ba0188ed2e,melee,2026-09-05,Spotlight Dallas,SuperCow12653,orzhov,version-misassignment,low,post,pass3,drop,"in: esper, the version is read on Watery Grave or a blue spell","angle 5: Pilot registered it as Esper Blink. Mainboard casts 2 Teferi, Time Raveler (the only blue spells) on 1 Flooded Strand, 1 Hallowed Fountain and 1 Meticulous Archive beside 4 Marsh Flats, 2 Godless Shrine, 2 Bleachbone Verge, 1 Shadowy Backstreet, 2 Plains, 1 Swamp, 1 Arid Mesa, 1 Windswept Heath, and holds no Watery Grave, so the version rule reads Orzhov. The same pilot's identical 60 at the 1 September Modern Challenge 64 (current MTGO key 10534, 20th) reads Orzhov too. These two are the only Blink lists in the store or the paper set between the Watery Grave rule's halves: 575 Esper members all hold Watery Grave and cast a blue spell, 33 Orzhov members hold neither, so the 'no list between the two' claim in CONTEXT.md and config.py is now off by exactly these two. The splash line would also call 2 blue cards Orzhov with a splash, so the rule is defensible; raised because the pilot's name and the mana base disagree with it and the partition claim has stopped being true. Proposed rule: Either leave the Watery Grave rule and correct the partition claim in CONTEXT.md and the config comment (0 lists move), or read the Esper version as mainboard Watery Grave or any blue spell cast: measured over the store and the paper lists that moves exactly 2 lists from orzhov to esper (MTGO 10534 and this Dallas list, both SuperCow12653) and nothing else.","Facts re-read from the store: the list exists (Spotlight Dallas, 2026-09-05, SuperCow12653, 765th, 1-2-0, Melee name ""Esper Blink""), classifies blink/orzhov today, and every quoted card and count holds: 2 Teferi, Time Raveler is the only blue spell, on 1 Flooded Strand, 1 Hallowed Fountain, 1 Meticulous Archive beside 4 Marsh Flats, 2 Godless Shrine, 2 Bleachbone Verge, 1 Shadowy Backstreet, 2 Plains, 1 Swamp, 1 Arid Mesa, 1 Windswept Heath, and no Watery Grave in either board. The Watery Grave rule in config.py does read it Orzhov, and the partition figures are exact: of 610 Blink members, 575 Esper hold Watery Grave and cast blue, 33 Orzhov hold neither, and exactly these two (MTGO 10534 and the Dallas list, both SuperCow12653) cast blue without the Grave. The patched rule (Watery Grave or any blue spell cast) measured over the store and the paper lists moves exactly those 2 lists orzhov to esper and nothing else. One factual slip: 10534 is not an identical 60, it shares the 21-land manabase and the 2 Teferi but runs 4 White Orchid Phantom and 2 Ketramose where Dallas runs 2 Recruiter, 2 Prismatic Ending and 2 Wrath of the Skies. The candidate fails on check 4. No ruling in HEURISTICS.md names the version rule or places this list, and the pilot's adopted colour rulings go the other way: a splash is under five off-colour cards and does not move a list, and the Tron ruling reads a colour version on that same line (Ancient Stirrings on a green splash is colourless with a splash), so 2 Teferi on three blue sources is Orzhov with a blue splash, which the finder itself conceded is defensible. The same pilot's league list of the same day (22657) runs no Teferi, a Sacred Foundry and no Hallowed Fountain and is plainly Orzhov, so the registered name is the pilot's own label over a fluid build, not evidence the store misreads the deck. What does hold is a documentation error: the ""no list between the two"" partition claim in CONTEXT.md and the config.py comment is now false by exactly these two lists, and should be corrected without moving any list."
oswald,Grinding Station,modern-challenge-64-2026-07-0412846489#J4K3ST3R02,mtgo,2026-07-04,Modern Challenge 64,J4K3ST3R02,,different-deck,high,post,pass3,keep,out: the Kethis combo is a different deck; adding Loki for Plaza does not make it Grinding Station,"angle 2, angle 4: Admitted by the Oswald-or-Loki tier. The Kethis combo: 4 Kethis, the Hidden Hand, 4 Plaza of Heroes, 1 Jace, the Perfected Mind, 1 Rona, 4 Mox Amber, 2 Agatha's Soul Cauldron, with 3 Grinding Station, 4 Emry, only 1 Sewer-veillance Cam and 2 Loki. The ruling turns the Kethis deck away on the premise that it 'runs the Station trio and neither Oswald nor Loki'; this list is that deck with Loki (a legend for Plaza) added, so the rule as written admits it. Seven other Kethis lists in the store (GammelJoghurt, Xenowan, RuthlessCorndog21, GreyChroma x3, samulet at Dallas) are outside. Proposed rule: Add 'kethis': ('Kethis, the Hidden Hand',) to ENGINES and to oswald's excluded_engines. Measured: moves out exactly 8482 and 19741 (2 MTGO lists, 0 paper); the other 7 Kethis lists already belong to nothing and no other deck's member holds Kethis.","List 8482 exists in the store as J4K3ST3R02, Modern Challenge 64, 2026-07-04, placement 20, archetype oswald, camp NULL. Every card and count the finder quotes is right: 4 Kethis, the Hidden Hand, 4 Plaza of Heroes, 1 Jace, the Perfected Mind, 1 Rona, Herald of Invasion, 4 Mox Amber, 2 Agatha's Soul Cauldron, 3 Grinding Station, 4 Emry, 1 Sewer-veillance Cam, 2 Loki, God of Mischief, no Oswald Fiddlebender, no Kappa Cannoneer (also 4 Tamiyo, 4 Malevolent Rumble, 4 Mox Opal, 3 Urza's Saga). The rule as written admits it: signature (Station, Emry, Cam) all present, supporting tier met by Loki, only excluded engine is kappa. It is the Kethis shell, not the Station deck: the seven unclassified Kethis lists (GreyChroma x3, GammelJoghurt, Xenowan, RuthlessCorndog21, samulet at Dallas) share the same skeleton of 4 Kethis, 4 Plaza, 4 Tamiyo, 4 Amber, 3-4 Station, 4 Emry, Cauldron, Jace, and Plaza of Heroes appears in exactly 2 of the 94 current members, these two. The adopted ruling turns the Kethis combo away on the factual premise that it runs neither Oswald nor Loki; it does not name 8482 in its Applies list, and this list is that combo with Loki added, so the ruling's intent (Kethis combo is a different deck) is not encoded by the rule. Re-measured with kethis added to ENGINES and to oswald's excluded_engines over the store plus paper lists via classify_now: exactly 8482 and 19741 (Rexplosion, league 2026-07-10, 3 Kethis, 4 Plaza, 3 Loki) move from oswald to None, 0 paper lists change, no other deck changes, and the other 7 Kethis lists were already unclassified. Confirmed as a genuine admission error with the finder's measured effect."
oswald,Grinding Station,modern-league-2026-07-1010847#Rexplosion,mtgo,2026-07-10,Modern League,Rexplosion,,different-deck,medium,post,pass3,keep,out: the Kethis combo is a different deck; adding Loki for Plaza does not make it Grinding Station,"angle 2, angle 4: Admitted by the Oswald-or-Loki tier. 3 Kethis, 4 Plaza of Heroes, 1 Jace, the Perfected Mind, 4 Mox Amber, 4 Malevolent Rumble, 1 Teferi, with 3 Station, 4 Emry, 3 Cam and 3 Loki: the Kethis combo engine on a fuller Station core, closer to a hybrid than 8482, and the ruling calls the Kethis deck a different deck. Proposed rule: Same Kethis engine exclusion; the second of the 2 lists it moves.","List 19741 exists in the store as Rexplosion, Modern League, 2026-07-10, archetype oswald, camp None, and classify_now returns oswald on it today. Every quoted card and count is right: mainboard 3 Kethis, the Hidden Hand, 4 Plaza of Heroes, 1 Jace, the Perfected Mind, 4 Mox Amber, 4 Malevolent Rumble, 1 Teferi, Time Raveler, with 3 Grinding Station, 4 Emry, 3 Sewer-veillance Cam and 3 Loki, God of Mischief (60 cards, no Oswald, no Kappa). The rule as written (signature Station, Emry, Cam; supporting 1 of Oswald or Loki; excluded_engines kappa only; config.ENGINES has no Kethis entry) admits it on the 3 Loki, exactly as the finder says. It is a genuine error under the 2026-09-13 Grinding Station ruling, which calls the Kethis combo a different deck and describes it as running the Station trio with neither Oswald nor Loki: that describes the seven pure Kethis lists (all outside already on the supporting tier) and does not place this one, which carries the full Kethis engine with Loki bolted on. The engine is distinctive: Kethis and Plaza of Heroes sit in 7 of 7 pure Kethis lists and Jace, the Perfected Mind in 6 of 7, against 2 of 94 Oswald members for all three, and those 2 are 8482 and 19741. Malevolent Rumble is not distinctive (16 of 94 Oswald members) but the finder's counts for it are correct. This list is the fuller Station core of the pair (3 Cam and 3 Loki against 8482's 1 Cam and 2 Loki), so the hybrid reading is right. Re-measured with a patched rule adding a kethis engine (Kethis, the Hidden Hand) to Oswald's excluded_engines over the whole store plus the paper lists: exactly 2 lists move, 8482 (J4K3ST3R02, Challenge 64, 2026-07-04) and 19741, both from oswald to unclassified, no paper list and no other deck touched. That matches the finder's stated effect."
broodscale,Broodscale,modern-league-2026-06-0710628#RespectTheDog,mtgo,2026-06-07,Modern League,RespectTheDog,mono-green,version-misassignment,low,post,pass3,drop,"in: mono-green, a list on neither marker keeps the default whatever it splashes","angle 3: League 5-0, one of four near-identical RespectTheDog leagues (17670, 17711, 17812, 17943). Mainboard casts 4 Revitalizing Repast (black-green hybrid on record, a playset of one off-colour card by the splash line) beside 3 Agatha's Soul Cauldron, on 5 Forest, 4 Grove of the Burnwillows and 4 Eldrazi Temple, no red spell, no Labyrinth, no Dredger's Insight (so not the excluded Cauldron hybrid). A member by rule, labelled mono-green by default. Note the manabase is mono-green and Repast is castable on green alone, so of the 12 lists this is the weakest case for a black label. Proposed rule: As for 8557; if a fourth version is drawn on the splash line, consider not counting hybrid-cost cards castable on the deck's colour, which would keep these 4 lists mono-green and move 8 (the Sephiroth and Push five, 10718, 19190 and 20937). Measured: 12 moved with hybrid counted, 8 with hybrid not counted, 0 paper either way.","List confirmed: store id 17670, 2026-06-07 Modern League, RespectTheDog, 60 cards, mainboard 4 Revitalizing Repast (BG on record), 3 Agatha's Soul Cauldron, 5 Forest, 4 Grove of the Burnwillows, 4 Eldrazi Temple, no red spell, no Ugin's Labyrinth, no Dredger's Insight or Mystic Forge, no black source; the only off-green spell is the Repast playset, and 17711, 17812 and 17943 are the same. classify_now gives ('broodscale', 'mono-green') and the rule does what the finder says: Broodscale has no colour rule, its versions are presence-read (red spells, then Labyrinth) with mono-green as default. Check 4 fails: the adopted ruling ""Broodscale has three versions"" (2026-09-12) explicitly places this list, ""a list on neither is mono-green"", so a fourth version is a new heuristic, not a misassignment, and on the merits a list with zero black sources casting a B/G hybrid on green is mono-green, as the finder concedes. The measured effect does reproduce under the finder's formulation (beyond a splash outside green and red, after gruul and lab): 12 moved with hybrid counted, 8 with Repast and Slitherhead not counted, 0 paper, Dismember making no difference; but the fourth version is not a black one, 19190 moving on 2 Rosie Cotton and 3 Voice of Victory."
broodscale,Broodscale,modern-challenge-64-2026-07-0612846509#YungDingo,mtgo,2026-07-06,Modern Challenge 64,YungDingo,mono-green,version-misassignment,low,post,pass3,drop,"in: mono-green, a list on neither marker keeps the default whatever it splashes","angle 3: Challenge winner at 9-1. Mainboard casts 3 Sephiroth, Fabled SOLDIER and 2 Fatal Push (black on record, 5 in all, beyond a splash) off 4 Llanowar Wastes, Overgrown Tomb, Swamp, Underground Mortuary and 3 Verdant Catacombs, with no red spell and no Labyrinth. It is a Golgari Broodscale on the Temple shell and a correct member (no colour rule), but the version rule's default labels it mono-green. The same Sephiroth and Push build sits in 4453 (Owllicious 4th), 19580, 19589 and 20515; with 10718, 17670, 17711, 17812, 17943, 19190 and 20937 that is 12 MTGO members beyond a non-green splash under the mono-green label, 0 paper. Proposed rule: If the pilot wants the label honest: a fourth version read last on the splash line, any list beyond a splash outside green and red with Dismember not counted, named e.g. other, before the mono-green default. Measured over store and paper: moves exactly 12 MTGO lists out of mono-green (269 to 257), 0 paper, 0 out of gruul or lab. If the pilot is content with three versions, no change.","Checks 1, 2, 3 and 5 hold; check 4 does not. The list is store id 8557, 2026-07-06, Modern Challenge 64, YungDingo, placement 1 at 9-1, store archetype broodscale, camp mono-green. Its mainboard holds 3 Sephiroth, Fabled SOLDIER and 2 Fatal Push (both black on record, 5 nonland cards outside green) off 4 Llanowar Wastes, 1 Overgrown Tomb, 1 Swamp, 1 Underground Mortuary and 3 Verdant Catacombs, with no Unholy Heat, no Writhing Chrysalis and no Ugin's Labyrinth, so config.py's ordered variants (gruul on the red spells, lab on the Labyrinth) match nothing and variant_default gives mono-green, exactly as the finder says. The re-measurement also matches: patching an 'other' version before the default for lists beyond a splash outside green and red moves exactly 12 MTGO members (8557, 4453, 19580, 19589, 20515, 10718, 17670, 17711, 17712 sic 17812, 17943, 19190, 20937), 0 paper, 0 out of gruul or lab; pooled mono-green goes 269 (231 store + 38 paper) to 257, and the Dismember carve-out changes nothing (same 12 either way). But this is not a deck error under the pilot's rulings. The adopted 2026-09-12 ruling in HEURISTICS.md says in its Applies line that the version rule reads the red spells first, then Ugin's Labyrinth, and a list on neither is mono-green; CONTEXT.md's Broodscale entry says the same, three versions with mono-green on neither, and no colour rule. A Golgari list on neither marker is therefore a list the ruling explicitly places, and the finder concedes it is a correct member with the proposal conditional on whether the pilot wants a fourth label. Mono-green is not the tracked version, so no performance, goldfishing, build or storyline reading is touched, only a count on the presence figure. The 12 would also be a grab-bag rather than a version (Sephiroth and Push Golgari, RespectTheDog's Revitalizing Repast, Sfrenka667's Voice of Victory and Rosie Cotton white splash, gpowerone's Thoughtseize and Inquisition). At most a naming question to put to the pilot, not a contamination fix."
broodscale,Broodscale,melee:1ee8b84f-25a3-4f08-81b4-b488006b9452,melee,2026-07-17,Pro Tour Amsterdam,Lostwanderer,mono-green,version-misassignment,medium,post,pass3,drop,"in: gruul, Lightning Bolt joins Unholy Heat and Writhing Chrysalis as a marker","angle 3: Registered as Broodscale Combo, 1-4 in the Modern rounds, the same 60 as BenT's: 2 Lightning Bolt off 4 Grove of the Burnwillows and 4 Karplusan Forest, no Unholy Heat, no Writhing Chrysalis, no Ugin's Labyrinth. Red is cast, so the ruling's Gruul version by its own words, but the two-card marker does not see Bolt and the list reads mono-green. Proposed rule: Same as BenT's row: gruul on any red-on-record mainboard spell or Writhing Chrysalis. Measured effect over store and paper: exactly 2 lists move (both Pro Tour Amsterdam), 0 MTGO.","Facts hold: melee:1ee8b84f is in data/raw-melee/434455.json as Lostwanderer, rank 265, 1-4-0, registered ""Broodscale Combo"", Pro Tour Amsterdam 2026-07-17, and the 60 is card for card BenT's: 4 Basking Broodscale, 4 Blade of the Bloodchief, 4 Eldrazi Temple, 4 Glaring Fleshraker, 4 Kozilek's Command, 4 Malevolent Rumble, 3 Ancient Stirrings, 2 Delighted Halfling, 2 Emrakul, 2 Lightning Bolt (R on record), 4 Grove of the Burnwillows, 4 Karplusan Forest, 3 Forest, 2 Boseiju, 4 Urza's Saga, 1 Cavern, 1 Gemstone Caverns, no Unholy Heat, no Writhing Chrysalis, no Ugin's Labyrinth. classify_now gives ('broodscale', 'mono-green') exactly as the finder says, and the patched rule (gruul on any red-on-record nonland mainboard card or Chrysalis, then lab, then mono-green) moves exactly 2 of 1139 Broodscale lists, BenT and Lostwanderer at the Pro Tour, 0 MTGO, 0 Spotlight, so the measured effect is right. What does not hold is that this is an error under the rulings. The adopted 2026-09-13 splash ruling says four or fewer off-colour nonland cards is a splash that moves nothing and lands say nothing on their own, and the code reads every colour-named version on that same line (colour_variants use _beyond_splash); 2 Bolt beside the painlands nine of ten mono-green lists already run is a splash by that ruling. CONTEXT.md places the Gruul version on Unholy Heat or Writhing Chrysalis specifically, and the data backs that: of the 455 lists the rule reads as Gruul, 396 hold Heat and 293 Chrysalis and not one holds Lightning Bolt, while Bolt appears in exactly these two lists, which are otherwise the mono-green shell. Whether a two-Bolt mono-green list is ""Gruul"" is a pilot question the heuristic's ""red cards like"" wording leaves open, not a demonstrable misassignment; raise it to Alejandro as a heuristic candidate if wanted, but it is not a keep."
broodscale,Broodscale,melee:7369fdfb-97d0-4628-aa74-b487013c3a0f,melee,2026-07-17,Pro Tour Amsterdam,BenT,mono-green,version-misassignment,medium,post,pass3,keep,"in: gruul, Lightning Bolt joins Unholy Heat and Writhing Chrysalis as a marker","angle 3: Registered as Broodscale Combo, 7-3 in the Modern rounds. Mainboard casts 2 Lightning Bolt (red on record) off 4 Grove of the Burnwillows and 4 Karplusan Forest, with no Unholy Heat, no Writhing Chrysalis and no Ugin's Labyrinth. The ruling says the Gruul version is read on red spells, with Heat and Chrysalis as examples, but the rule as written tests only those two cards, so a Gruul list on Bolt falls to the default and is labelled mono-green. Proposed rule: Read the gruul version as any mainboard nonland red-on-record spell, or Writhing Chrysalis (devoid, colourless on record), then Labyrinth, else mono-green. Measured over the store and the paper lists: moves exactly 2 lists from mono-green to gruul (this one and Lostwanderer's identical list, both Pro Tour Amsterdam), 0 MTGO lists, and nothing out of gruul or lab.","All five hold. (1) The list exists once under melee:7369fdfb: Pro Tour Amsterdam, 2026-07-17, pilot BenT, placement 32, record 7-3-0, registered as Broodscale Combo, currently broodscale / mono-green. (2) Re-read from the fetched boards, the mainboard is 60 cards with 2 Lightning Bolt (red on record), 4 Grove of the Burnwillows, 4 Karplusan Forest, and 0 Unholy Heat, 0 Writhing Chrysalis, 0 Ugin's Labyrinth, 0 Stomping Ground; Bolt is the only red-on-record nonland spell, Pyroclasm sits in the side. (3) config.py's broodscale variants are literally ((""gruul"", (""Unholy Heat"", ""Writhing Chrysalis"")), (""lab"", (""Ugin's Labyrinth"",))) with default mono-green, and classify.variant tests only those cards, so classify_now returns mono-green on this list; the store and classify_now agree on every MTGO broodscale camp today. (4) The 2026-09-12 ruling defines Gruul as ""on red cards like Unholy Heat and Writhing Chrysalis"" and its Applies line says ""the version rule reads the red spells first""; no ruling names this list, and a list casting a red spell off the same Grove plus Karplusan manabase the Gruul builds use is Gruul by the ruling's own wording, so the mono-green label is a rule-narrower-than-ruling error, not a re-litigation. Stakes are low: both affected lists are paper, so no frozen row moves. (5) Re-measured with a patched rule (any mainboard nonland red-on-record spell, or Writhing Chrysalis which is colourless on record, then Labyrinth, else mono-green) over the whole store plus paper lists: exactly 2 moves, both Pro Tour Amsterdam mono-green to gruul (BenT, and Lostwanderer whose main and side are identical to BenT's, 265th at 1-4-0), 0 MTGO moves, nothing leaves gruul or lab. Camps otherwise unchanged at gruul 455 / lab 415 / mono-green 269 before the patch."
broodscale,Broodscale,modern-challenge-64-2026-09-0712853706#gpowerone,mtgo,2026-09-07,Modern Challenge 64,gpowerone,mono-green,version-misassignment,low,post,pass3,drop,"in: mono-green, a list on neither marker keeps the default whatever it splashes","angle 3, angle 4: 5-2. Mainboard casts 4 Thoughtseize, 3 Fatal Push and 2 Inquisition of Kozilek (9 black cards, a playset of one) off 4 Llanowar Wastes, 2 Overgrown Tomb, Swamp, Underground Mortuary, Misty Rainforest and 4 Verdant Catacombs, no Fleshraker, no red spell, no Labyrinth. Broodscale, Blade and 4 Eldrazi Temple hold the core, so it is a member; the black discard suite is the heaviest off-colour package of any member and the default labels it mono-green. Proposed rule: As for 8557: a fourth version on the splash line outside green and red (Dismember excluded) moves exactly 12 MTGO lists, 0 paper; or no change if three versions stand.","Re-read from the store: 10718 is gpowerone, 2026-09-07 Modern Challenge 64, 20th at 5-2, and every quoted card is exact (4 Thoughtseize, 3 Fatal Push, 2 Inquisition of Kozilek, all black on record; 4 Llanowar Wastes, 2 Overgrown Tomb, Swamp, Underground Mortuary, Misty Rainforest, 4 Verdant Catacombs; 4 Broodscale, 4 Blade, 4 Eldrazi Temple; no red spell, no Labyrinth, no Fleshraker). classify_now gives broodscale, mono-green, and the rule does what the finder says. The re-measured effect is also right: a fourth version on the splash line outside GR moves exactly 12 MTGO lists (4453, 8557, 10718, 17670, 17711, 17812, 17943, 19190, 19580, 19589, 20515, 20937) out of mono-green, 0 paper, 0 out of gruul or lab, with or without Dismember excluded. But the candidate is not a deck error: the adopted Broodscale ruling explicitly places it (""the version rule reads the red spells first, then Ugin's Labyrinth, and a list on neither is mono-green""), the membership text says ""No colour rule"", membership is correct, and the tracked Lab version and every frozen row are untouched. This is a label-naming proposal for the pilot (the finder's own text allows ""no change if three versions stand""), not a genuine misassignment, so it fails check 4."
prowess,Izzet Prowess,modern-challenge-64-2026-08-2312852752#Suechtler,mtgo,2026-08-23,Modern Challenge 64,Suechtler,,different-deck,low,post,pass3,keep,in: Izzet Prowess has no colour rule; a Thoughtseize playset is an innovation on an intact shell,"angle 4: Mainboard: 4 Thoughtseize beside 3 Steam Vents, 4 Lava Dart, 4 Cutter, 4 Swiftspear, 4 Channeler, 4 Talent, 4 Boomerang Basics, 4 Bolt, 1 Blood Crypt. A full playset of a black card on the Izzet shell is 'the other deck's card whatever the total' under the splash-line policy, which makes this a Grixis Prowess list; the adopted Prowess ruling names the deck Izzet but gives it no colour rule, so the rule as written admits it. Low confidence because the pilot chose no colour rule and the shell is intact. Only one other member is beyond a splash outside blue and red: FraCante's 3803 (2026-05-24, Challenge 32, 32nd) on 4 Questing Druid. Proposed rule: If a colour rule is wanted: 'colours': frozenset('UR') on the prowess rule, but the splash line as implemented reads Mutagenic Growth as green (the store's colour for it), so that rule turns away 605 of 1163 members (467 MTGO, 138 paper), every list on a Growth playset, and cannot be adopted as the line stands. With Mutagenic Growth read as colourless (phyrexian mana), the same rule moves exactly 2 lists out (10211 and 3803, both MTGO) and 0 in. Either way this needs the pilot's call on whether Prowess has colours at all.","List 10211 is in the store as Suechtler, Modern Challenge 64, 2026-08-23, 11th, archetype prowess, and the pilot/date lookup returns the same row, so the id is not shifted. The mainboard is exactly as quoted: 4 Thoughtseize, 3 Steam Vents, 4 Lava Dart, 4 Cori-Steel Cutter, 4 Monastery Swiftspear, 4 Dragon's Rage Channeler, 4 Stormchaser's Talent, 4 Boomerang Basics, 4 Lightning Bolt, 1 Blood Crypt (plus 4 Preordain, 4 Mishra's Bauble, 2 Experimental Synthesizer and the fetches); the side holds 4 Unholy Heat and 2 Meltdown. The prowess rule in config.py has signature, supporting (4 of 6), excluded_engines phoenix and a Vents floor of 2 but no colours key, so the splash line is never applied to it and classify_now returns prowess, as does the pre-pass-two classifier, which means this list was inside the 'no member leaves' count of the 2026-09-13 ruling without ever being named there. The ruling's prose says the deck is Izzet and the splash-line ruling says a playset of an off-colour card is the other deck's card whatever the total, so a Grixis Prowess list on 4 Thoughtseize sits between two adopted rulings that the pilot has not reconciled for this deck; it is a genuine open call, not a re-litigation. Re-measured over the 1163 current members (968 MTGO, 195 paper) with 'colours': frozenset('UR') patched in: with Mutagenic Growth carrying the store's G colour the rule turns away 605 (467 MTGO, 138 paper) and admits 0, 602 of them on a Growth playset, one on 3 Growth plus 2 Surgical Extraction, and the two below; with Growth read as colourless it moves exactly 3803 (FraCante, 2026-05-24, Challenge 32, 32nd, 4 Questing Druid, playset) and 10211 (4 Thoughtseize, playset) out and 0 in, both MTGO. Every figure the finder quoted is confirmed; the only nuance is that the 605 is not quite 'every list on a Growth playset' (602 of them are). Low confidence stands: the pilot chose no colour rule, and this needs the pilot's call on whether Prowess has colours."
tron,Tron,modern-league-2026-06-0410628#lyz050915,mtgo,2026-06-04,Modern League,lyz050915,blue,version-misassignment,medium,post,pass3,keep,"in: colourless, the version is named by Stock Up and Force or the Chromatic eggs and not by a playset","angle 2: Karn Eldrazi Tron (4 Karn, 3 Temple, 4 Labyrinth, 3 Devourer, 3 Disruptor Flute, 2 Chalice, 2 Island) on 4 Portent of Calamity as its only blue cards; no Stock Up or Force. Blue only by the playset clause. Proposed rule: Same marker rule; one of the 25.","Confirmed. (1) List 17443 is lyz050915's Modern League 5-0 of 2026-06-04, stored as tron/blue. (2) The mainboard is exactly as quoted: 4 Karn, the Great Creator, 3 Eldrazi Temple, 4 Ugin's Labyrinth, 3 Devourer of Destiny, 3 Disruptor Flute, 2 Chalice of the Void, 2 Island, plus 4 Kozilek's Command, 4 Ugin, 4 Expedition Map, 4 Talisman of Dominance, 2 Emrakul, 2 Dismember; 4 Portent of Calamity is the only blue nonland card, no Stock Up, no Force of Negation (60 main, 15 side). (3) The rule as written (colour_variants blue on the splash line) reads blue spells {Portent: 4}: the count-of-four hits the playset clause, while the five-card clause would not fire, so the list is blue only by the playset clause, as the finder says. (4) The adopted ruling names no Portent list. It describes blue Tron as ""on Stock Up and Force of Negation"", colourless as Karn, Labyrinth and the Eldrazi, says Stock Up ""becomes a version marker"", and says ""Ancient Stirrings on a green splash inside the Eldrazi engine is colourless with a splash"". This list is that case in blue: an Eldrazi Tron shell with one blue playset. The implemented splash-line playset clause already contradicts the ruling's own Stirrings sentence (BillisTheIllest's Dallas list, 4 Stirrings on 4 Temple, 4 Labyrinth, 4 Karn, no eggs, reads green), so the playset clause here is an implementation slip, not a ruling to re-litigate. (5) Re-measured with classify_now and a patched rule (blue = mainboard Stock Up or Force of Negation, green unchanged) over the 828 current Tron members (719 MTGO, 109 paper): membership unchanged, exactly 25 lists move blue to colourless (24 MTGO, zebhillard's Dallas list the one paper), none move the other way (0 non-blue lists hold Stock Up or Force), totals 770 colourless, 53 blue, 5 green. The 25 are 15 on 4 Dress Down, 9 on 4 Portent, 1 on 3 Portent plus 2 Dress Down, all 25 on Ugin's Labyrinth and 24 on Karn; 17443 is one of them."
